gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
899687813	StillImage	image/jpeg	https://cdn.floridamuseum.ufl.edu/IZ/6925aa4e-1213-4214-a97f-5e858f61324e		Phoronopsis harmeri	dFHL_07934a.jpg						Florida Museum of Natural History Invertebrate Zoology	http://creativecommons.org/licenses/by-nc/4.0/	Florida Museum of Natural History Invertebrate Zoology
899687813	StillImage	image/jpeg	https://cdn.floridamuseum.ufl.edu/IZ/8ba72b52-a6d5-4114-9ac9-4bcd55d28c58		Phoronopsis harmeri	dFHL_07936a.jpg						Florida Museum of Natural History Invertebrate Zoology	http://creativecommons.org/licenses/by-nc/4.0/	Florida Museum of Natural History Invertebrate Zoology
899614370	StillImage	image/jpeg	https://cdn.floridamuseum.ufl.edu/IZ/0cd885a3-4565-4125-8745-13ec66374a61		Phoronis vancouverensis	dFHL_01967a.JPG						Florida Museum of Natural History Invertebrate Zoology	http://creativecommons.org/licenses/by-nc/4.0/	Florida Museum of Natural History Invertebrate Zoology
899604644	StillImage	image/jpeg	https://cdn.floridamuseum.ufl.edu/IZ/a7271524-db1b-4be3-bf7d-db039ba04cb4		Phoronis vancouverensis	dFHL_00378a.JPG						Florida Museum of Natural History Invertebrate Zoology	http://creativecommons.org/licenses/by-nc/4.0/	Florida Museum of Natural History Invertebrate Zoology
899604644	StillImage	image/jpeg	https://cdn.floridamuseum.ufl.edu/IZ/fee80654-1348-4443-a870-b465d49c26a7		Phoronis vancouverensis	dFHL_00381a.JPG						Florida Museum of Natural History Invertebrate Zoology	http://creativecommons.org/licenses/by-nc/4.0/	Florida Museum of Natural History Invertebrate Zoology
899604644	StillImage	image/jpeg	https://cdn.floridamuseum.ufl.edu/IZ/dca082a3-012a-4286-a1ac-58811967ce91		Phoronis vancouverensis	dFHL_00384a.JPG						Florida Museum of Natural History Invertebrate Zoology	http://creativecommons.org/licenses/by-nc/4.0/	Florida Museum of Natural History Invertebrate Zoology
4919665446	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/412796340/original.jpeg	https://www.inaturalist.org/photos/412796340					2024-07-26T05:32:00Z	Frédéric ANDRE		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Frédéric ANDRE
4919519229	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/412796316/original.jpeg	https://www.inaturalist.org/photos/412796316					2024-07-26T05:03:36Z	Frédéric ANDRE		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Frédéric ANDRE
4918859817	StillImage	image/jpeg	http://www.boldsystems.org/pics/BHAK/dHAK_03575a+1517002370.jpg	http://bins.boldsystems.org/index.php/Public_RecordView?processid=BHAK2210-19	BHAK2210-19 Specimen								http://creativecommons.org/licenses/by-nd/4.0/	
4918799011	StillImage	image/jpeg	http://www.boldsystems.org/pics/BHAK/dHAK_03339a+1516985636.jpg	http://bins.boldsystems.org/index.php/Public_RecordView?processid=BHAK4711-20	BHAK4711-20 Specimen								http://creativecommons.org/licenses/by-nc-nd/4.0/	
